"Type","Treat","Conc","uptake"
"Quebec","NonChilled",442,25.23
"Quebec","Chilled",511,24.11
"Quebec","NonChilled",478,9.41
"Mississippi","Chilled",602,8.13
"Mississippi","Chilled",880,22.55
"Mississippi","Chilled",795,23.35
"Mississippi","Chilled",182,7.86
"Quebec","NonChilled",228,11.27
"Quebec","Chilled",396,20.39
"Mississippi","Chilled",395,8.88
"Quebec","Chilled",766,7.3
"Mississippi","NonChilled",249,24.21
"Quebec","NonChilled",980,7.93
"Quebec","Chilled",873,23.61
"Mississippi","Chilled",636,9.29
"Mississippi","NonChilled",912,14.68
"Mississippi","Chilled",133,11.37
"Mississippi","NonChilled",811,21.75
"Quebec","NonChilled",919,17.95
"Quebec","Chilled",222,10.7
"Quebec","Chilled",533,15.07
"Mississippi","Chilled",715,15.36
"Mississippi","NonChilled",532,24.27
"Quebec","Chilled",891,15.79
"Mississippi","Chilled",476,24.7
"Mississippi","NonChilled",621,14.4
"Mississippi","NonChilled",697,22.3
"Mississippi","Chilled",375,21.6
"Mississippi","Chilled",905,13.48
"Mississippi","Chilled",246,24.82
"Mississippi","NonChilled",613,16.57
"Mississippi","Chilled",346,13.16
"Mississippi","NonChilled",189,15.41
"Mississippi","NonChilled",792,16.25
"Quebec","Chilled",656,22.99
"Mississippi","NonChilled",416,25.03
"Mississippi","Chilled",921,15.94
"Quebec","NonChilled",641,14.05
"Quebec","Chilled",953,11.29
"Mississippi","Chilled",915,7.09
"Quebec","Chilled",464,20.48
"Mississippi","NonChilled",754,20.23
"Quebec","NonChilled",849,7.28
"Quebec","Chilled",925,10.57
"Mississippi","Chilled",239,17.2
"Mississippi","NonChilled",164,10.02
"Mississippi","Chilled",990,11.67
"Quebec","NonChilled",466,24.52
"Quebec","Chilled",747,13.9
"Quebec","NonChilled",585,25.86
"Mississippi","Chilled",464,20.79
"Quebec","Chilled",754,9.84
"Quebec","NonChilled",895,18.25
"Quebec","Chilled",231,23.13
"Mississippi","NonChilled",446,20.95
"Mississippi","Chilled",816,15.79
"Mississippi","NonChilled",314,16.71
"Mississippi","NonChilled",668,17.57
"Quebec","NonChilled",456,10.82
"Mississippi","NonChilled",654,23.89
"Quebec","Chilled",619,9.93
"Mississippi","NonChilled",733,18.11
"Quebec","Chilled",837,16.14
"Quebec","Chilled",522,10.75
"Quebec","Chilled",449,25.59
"Quebec","NonChilled",845,13.06
"Quebec","Chilled",574,7.85
"Mississippi","NonChilled",774,21.32
"Mississippi","NonChilled",868,17.77
"Quebec","Chilled",510,7.19
"Quebec","Chilled",480,12.71
"Quebec","Chilled",870,23.4
"Mississippi","NonChilled",761,11.41
"Quebec","Chilled",663,8.11
"Mississippi","Chilled",738,20.51
"Quebec","NonChilled",780,16.67
"Mississippi","Chilled",354,14.69
"Mississippi","NonChilled",367,15.07
"Mississippi","Chilled",300,24.37
"Mississippi","NonChilled",950,24.14
"Quebec","NonChilled",362,11.14
"Quebec","Chilled",561,17.92
"Quebec","Chilled",157,7.77
"Quebec","Chilled",827,17.27
"Mississippi","Chilled",480,9.14
"Quebec","NonChilled",528,21.39
"Mississippi","Chilled",940,9.11
"Mississippi","NonChilled",466,10.88
"Quebec","NonChilled",778,21.59
"Mississippi","Chilled",811,15.02
"Mississippi","NonChilled",307,17.39
"Quebec","Chilled",174,23.73
"Mississippi","NonChilled",415,20.82
"Quebec","Chilled",723,21.3
"Mississippi","Chilled",797,18.41
"Mississippi","Chilled",696,8.92
"Mississippi","NonChilled",942,22.7
"Quebec","Chilled",128,21.03
"Quebec","NonChilled",456,23.78
"Mississippi","Chilled",688,8.6
"Mississippi","NonChilled",212,22.76
"Quebec","Chilled",138,12.22
"Quebec","Chilled",255,13.35
"Quebec","Chilled",777,23.85
"Quebec","NonChilled",871,10.64
"Mississippi","Chilled",409,7.23
"Quebec","Chilled",358,20.4
"Quebec","NonChilled",338,7.71
"Quebec","Chilled",962,22.63
"Mississippi","NonChilled",560,24.17
"Quebec","Chilled",733,10.16
"Quebec","Chilled",926,10.94
"Mississippi","Chilled",658,22.12
"Quebec","Chilled",355,23.97
"Quebec","NonChilled",929,11.63
"Mississippi","Chilled",748,15.23
"Mississippi","Chilled",163,14.56
"Mississippi","Chilled",679,19.65
"Mississippi","NonChilled",871,12.8
"Quebec","Chilled",229,22.05
"Quebec","NonChilled",958,13.48
"Quebec","Chilled",161,11.89
"Quebec","NonChilled",274,7.08
"Quebec","NonChilled",145,14.23
"Quebec","Chilled",466,18.39
"Mississippi","Chilled",746,13.44
"Mississippi","NonChilled",699,10.34
"Mississippi","Chilled",550,25.95
"Quebec","Chilled",196,12.04
"Quebec","Chilled",972,17.45
"Quebec","Chilled",615,9.57
"Quebec","Chilled",752,19.95
"Quebec","NonChilled",373,15.56
"Quebec","Chilled",827,13.97
"Quebec","Chilled",676,14.34
"Quebec","Chilled",920,14.68
"Quebec","NonChilled",472,22.72
"Quebec","NonChilled",395,24.4
"Mississippi","NonChilled",765,21.46
"Mississippi","Chilled",733,13.98
"Mississippi","Chilled",506,20.14
"Quebec","Chilled",832,16.65
"Quebec","NonChilled",392,7.37
"Mississippi","NonChilled",925,19.29
"Quebec","Chilled",676,18.84
"Quebec","Chilled",805,13.33
"Quebec","NonChilled",753,7.5
"Mississippi","NonChilled",705,25.52
"Mississippi","Chilled",740,25.83
"Quebec","NonChilled",294,8.46
"Mississippi","Chilled",648,17.22
"Mississippi","NonChilled",796,25.58
"Quebec","Chilled",332,9.08
"Quebec","Chilled",730,13.89
"Quebec","Chilled",206,16.5
"Mississippi","Chilled",770,24.34
"Quebec","Chilled",952,17.87
"Mississippi","Chilled",706,7.43
"Quebec","NonChilled",709,23.25
"Quebec","Chilled",493,22.78
"Mississippi","Chilled",246,23.68
"Quebec","Chilled",536,22.38
"Quebec","Chilled",207,7
"Quebec","Chilled",785,8.93
"Mississippi","Chilled",446,22.86
"Quebec","Chilled",622,11.2
"Quebec","NonChilled",460,7.58
"Quebec","Chilled",303,17.96
"Mississippi","NonChilled",593,21.38
"Quebec","Chilled",463,23.6
"Mississippi","Chilled",879,8.15
"Mississippi","Chilled",207,11.21
"Mississippi","NonChilled",181,14.87
"Mississippi","Chilled",271,14.82
"Mississippi","NonChilled",944,18.01
"Mississippi","Chilled",512,24.9
"Mississippi","NonChilled",715,25.76
"Mississippi","NonChilled",157,9.47
"Mississippi","Chilled",535,12.22
"Quebec","Chilled",165,22.74
"Mississippi","NonChilled",668,25.83
"Quebec","Chilled",882,19.79
"Mississippi","Chilled",296,8.47
"Mississippi","Chilled",372,9.55
"Quebec","Chilled",882,13.42
"Quebec","Chilled",153,11.79
"Mississippi","NonChilled",810,11.77
"Mississippi","Chilled",523,21.88
"Mississippi","Chilled",195,10.3
"Quebec","NonChilled",918,18.37
"Mississippi","Chilled",290,20.14
"Quebec","Chilled",778,24.54
"Mississippi","Chilled",503,20.11
"Quebec","Chilled",712,12.2
"Quebec","Chilled",289,7.21
"Quebec","Chilled",897,7.82
"Mississippi","Chilled",168,10.19
"Quebec","NonChilled",318,23.2
"Mississippi","Chilled",354,7.87
"Quebec","Chilled",796,12.16
"Mississippi","NonChilled",463,23.89
"Quebec","Chilled",369,17.41
"Mississippi","Chilled",193,22.29
"Mississippi","NonChilled",563,25.19
"Quebec","NonChilled",520,20.11
"Quebec","Chilled",988,14.62
"Mississippi","Chilled",249,25.45
"Mississippi","NonChilled",855,24.85
"Mississippi","Chilled",151,16.85
"Mississippi","NonChilled",806,9.59
"Quebec","Chilled",325,18.91
"Quebec","Chilled",242,22.63
"Quebec","Chilled",292,9.59
"Quebec","NonChilled",314,18.35
"Quebec","Chilled",942,25.68
"Mississippi","Chilled",990,11.38
"Mississippi","Chilled",396,14.93
"Mississippi","NonChilled",245,8.91
"Mississippi","Chilled",703,12.29
"Mississippi","Chilled",637,17.08
"Mississippi","Chilled",426,12.97
"Quebec","NonChilled",837,18.41
"Mississippi","Chilled",373,25.75
"Quebec","Chilled",865,18.58
"Quebec","NonChilled",245,9.77
"Quebec","Chilled",879,20.38
"Mississippi","NonChilled",184,19.9
"Quebec","Chilled",506,13.13
"Mississippi","Chilled",720,15.04
